start_code,end_code,variable,column,desc,short_desc,task,title,code,p
1,2,aspirations,aspirations,Can you share your aspirations with your parents and other adults?,Share aspirations,,Can you share your aspirations with your parents and other adults?,0,""
1,2,aspirations,aspirations,Can you share your aspirations with your parents and other adults?,Share aspirations,,Can you share your aspirations with your parents and other adults?,1,Yes
1,2,aspirations,aspirations,Can you share your aspirations with your parents and other adults?,Share aspirations,,Can you share your aspirations with your parents and other adults?,2,No
1,3,child_helpline,child_helpline,Which childhelpline number do you identify?,Identifying child helpline number,,Which childhelpline number do you identify?,0,""
1,3,child_helpline,child_helpline,Which childhelpline number do you identify?,Identifying child helpline number,,Which childhelpline number do you identify?,1,1098
1,3,child_helpline,child_helpline,Which childhelpline number do you identify?,Identifying child helpline number,,Which childhelpline number do you identify?,2,112
1,3,child_helpline,child_helpline,Which childhelpline number do you identify?,Identifying child helpline number,,Which childhelpline number do you identify?,3,1098+112
1,3,child_helpline,child_helpline,Which childhelpline number do you identify?,Identifying child helpline number,,Which childhelpline number do you identify?,4,Any other
1,3,child_helpline,child_helpline,Which childhelpline number do you identify?,Identifying child helpline number,,Which childhelpline number do you identify?,5,1098 and other
1,3,child_helpline,child_helpline,Which childhelpline number do you identify?,Identifying child helpline number,,Which childhelpline number do you identify?,6,112 and other
1,3,child_helpline,child_helpline,Which childhelpline number do you identify?,Identifying child helpline number,,Which childhelpline number do you identify?,7,1098+112 and other
1,8,chores,chores_6a,1) Who should do the household chore of laundry?,Household chores and gender,Laundry,Who should do the following household chores?,0,""
1,8,chores,chores_6b,2) Who should do the household chore of cooking?,Household chores and gender,Cooking,Who should do the following household chores?,0,""
1,8,chores,chores_6c,3) Who should do the household chore of driving?,Household chores and gender,Driving,Who should do the following household chores?,0,""
1,8,chores,chores_6d,4) Who should do the household chore of grocery shopping?,Household chores and gender,Grocery shopping,Who should do the following household chores?,0,""
1,8,chores,chores_6e,5) Who should do the household chore of house cleaning?,Household chores and gender,House cleaning,Who should do the following household chores?,0,""
1,8,chores,chores_6f,6) Who should do the household chore of financial decisions?,Household chores and gender,Financial decisions,Who should do the following household chores?,0,""
1,8,chores,chores_6g,7) Who should do the household chore of smart phone work?,Household chores and gender,Smartphone work,Who should do the following household chores?,0,""
1,8,chores,chores_6a,1) Who should do the household chore of laundry?,Household chores and gender,Laundry,Who should do the following household chores?,1,"Men (father, brothers)"
1,8,chores,chores_6b,2) Who should do the household chore of cooking?,Household chores and gender,Cooking,Who should do the following household chores?,1,"Men (father, brothers)"
1,8,chores,chores_6c,3) Who should do the household chore of driving?,Household chores and gender,Driving,Who should do the following household chores?,1,"Men (father, brothers)"
1,8,chores,chores_6d,4) Who should do the household chore of grocery shopping?,Household chores and gender,Grocery shopping,Who should do the following household chores?,1,"Men (father, brothers)"
1,8,chores,chores_6e,5) Who should do the household chore of house cleaning?,Household chores and gender,House cleaning,Who should do the following household chores?,1,"Men (father, brothers)"
1,8,chores,chores_6f,6) Who should do the household chore of financial decisions?,Household chores and gender,Financial decisions,Who should do the following household chores?,1,"Men (father, brothers)"
1,8,chores,chores_6g,7) Who should do the household chore of smart phone work?,Household chores and gender,Smartphone work,Who should do the following household chores?,1,"Men (father, brothers)"
1,8,chores,chores_6a,1) Who should do the household chore of laundry?,Household chores and gender,Laundry,Who should do the following household chores?,2,"Women (mother, sisters)"
1,8,chores,chores_6b,2) Who should do the household chore of cooking?,Household chores and gender,Cooking,Who should do the following household chores?,2,"Women (mother, sisters)"
1,8,chores,chores_6c,3) Who should do the household chore of driving?,Household chores and gender,Driving,Who should do the following household chores?,2,"Women (mother, sisters)"
1,8,chores,chores_6d,4) Who should do the household chore of grocery shopping?,Household chores and gender,Grocery shopping,Who should do the following household chores?,2,"Women (mother, sisters)"
1,8,chores,chores_6e,5) Who should do the household chore of house cleaning?,Household chores and gender,House cleaning,Who should do the following household chores?,2,"Women (mother, sisters)"
1,8,chores,chores_6f,6) Who should do the household chore of financial decisions?,Household chores and gender,Financial decisions,Who should do the following household chores?,2,"Women (mother, sisters)"
1,8,chores,chores_6g,7) Who should do the household chore of smart phone work?,Household chores and gender,Smartphone work,Who should do the following household chores?,2,"Women (mother, sisters)"
1,8,chores,chores_6a,1) Who should do the household chore of laundry?,Household chores and gender,Laundry,Who should do the following household chores?,3,Myself
1,8,chores,chores_6b,2) Who should do the household chore of cooking?,Household chores and gender,Cooking,Who should do the following household chores?,3,Myself
1,8,chores,chores_6c,3) Who should do the household chore of driving?,Household chores and gender,Driving,Who should do the following household chores?,3,Myself
1,8,chores,chores_6d,4) Who should do the household chore of grocery shopping?,Household chores and gender,Grocery shopping,Who should do the following household chores?,3,Myself
1,8,chores,chores_6e,5) Who should do the household chore of house cleaning?,Household chores and gender,House cleaning,Who should do the following household chores?,3,Myself
1,8,chores,chores_6f,6) Who should do the household chore of financial decisions?,Household chores and gender,Financial decisions,Who should do the following household chores?,3,Myself
1,8,chores,chores_6g,7) Who should do the household chore of smart phone work?,Household chores and gender,Smartphone work,Who should do the following household chores?,3,Myself
1,8,chores,chores_6a,1) Who should do the household chore of laundry?,Household chores and gender,Laundry,Who should do the following household chores?,4,Everybody
1,8,chores,chores_6b,2) Who should do the household chore of cooking?,Household chores and gender,Cooking,Who should do the following household chores?,4,Everybody
1,8,chores,chores_6c,3) Who should do the household chore of driving?,Household chores and gender,Driving,Who should do the following household chores?,4,Everybody
1,8,chores,chores_6d,4) Who should do the household chore of grocery shopping?,Household chores and gender,Grocery shopping,Who should do the following household chores?,4,Everybody
1,8,chores,chores_6e,5) Who should do the household chore of house cleaning?,Household chores and gender,House cleaning,Who should do the following household chores?,4,Everybody
1,8,chores,chores_6f,6) Who should do the household chore of financial decisions?,Household chores and gender,Financial decisions,Who should do the following household chores?,4,Everybody
1,8,chores,chores_6g,7) Who should do the household chore of smart phone work?,Household chores and gender,Smartphone work,Who should do the following household chores?,4,Everybody
1,8,chores,chores_6a,1) Who should do the household chore of laundry?,Household chores and gender,Laundry,Who should do the following household chores?,5,Men and myself
1,8,chores,chores_6b,2) Who should do the household chore of cooking?,Household chores and gender,Cooking,Who should do the following household chores?,5,Men and myself
1,8,chores,chores_6c,3) Who should do the household chore of driving?,Household chores and gender,Driving,Who should do the following household chores?,5,Men and myself
1,8,chores,chores_6d,4) Who should do the household chore of grocery shopping?,Household chores and gender,Grocery shopping,Who should do the following household chores?,5,Men and myself
1,8,chores,chores_6e,5) Who should do the household chore of house cleaning?,Household chores and gender,House cleaning,Who should do the following household chores?,5,Men and myself
1,8,chores,chores_6f,6) Who should do the household chore of financial decisions?,Household chores and gender,Financial decisions,Who should do the following household chores?,5,Men and myself
1,8,chores,chores_6g,7) Who should do the household chore of smart phone work?,Household chores and gender,Smartphone work,Who should do the following household chores?,5,Men and myself
1,8,chores,chores_6a,1) Who should do the household chore of laundry?,Household chores and gender,Laundry,Who should do the following household chores?,6,Women and myself
1,8,chores,chores_6b,2) Who should do the household chore of cooking?,Household chores and gender,Cooking,Who should do the following household chores?,6,Women and myself
1,8,chores,chores_6c,3) Who should do the household chore of driving?,Household chores and gender,Driving,Who should do the following household chores?,6,Women and myself
1,8,chores,chores_6d,4) Who should do the household chore of grocery shopping?,Household chores and gender,Grocery shopping,Who should do the following household chores?,6,Women and myself
