variable,title
prof,Which of the following professions are suited for Men/Women/Both? 
serving_guests,Who serves the guests at home?
financial_decisions,Who should make financial decisions at home?
chores,Who should be doing the following chores at home?
social,What are society's expectations from Men and Women?
legal_marriage_age,Which is the legal/appropriate age for marriage?
cons,What are the consequences of child marriages on the lives of boys and girls?
early_pregnancy,If a girl conceives within one year of getting married as a child will she have any problems?
child_helpline,Identifying the correct child helpline number
aspirations,Are you able to share your aspirations with elders at home?
like_games,Do you like to play games?
games,Gender and games
