uid,school,gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations
BDAMR01,N.S.M.V. Ambajogai,2,8,14,1,3,0,3,0,0,3,3,3,0,3,3,3,3,3,4,1,3,2,4,1,2,1,4,3,3,3,3,3,3,2,4,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1
BDAMR02,N.S.M.V. Ambajogai,1,9,15,2,3,2,3,3,3,1,3,3,3,2,3,1,3,3,1,1,2,2,1,1,2,1,1,3,1,3,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
BDAMR03,N.S.M.V. Ambajogai,1,8,14,0,3,3,3,3,3,3,0,3,2,1,3,3,3,3,4,3,6,2,5,1,2,8,8,3,3,1,2,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BDAMR04,N.S.M.V. Ambajogai,1,8,14,0,1,2,1,3,3,3,3,3,3,3,3,3,3,3,4,3,6,2,5,4,2,8,8,3,1,0,3,3,3,3,4,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0
BDAMR05,N.S.M.V. Ambajogai,1,9,15,1,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,2,2,1,4,6,8,4,3,1,0,3,3,3,0,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
BDAMR06,N.S.M.V. Ambajogai,2,8,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,5,5,1,8,5,8,8,3,3,0,0,3,3,0,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
BDAMR07,N.S.M.V. Ambajogai,2,9,15,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,3,8,8,8,8,6,8,8,3,3,0,0,3,3,0,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1
BDAMR08,N.S.M.V. Ambajogai,2,9,15,1,3,3,3,0,3,3,3,3,3,3,3,3,3,1,4,3,8,8,8,8,6,8,8,3,3,0,0,0,3,0,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
BDAMR09,S.G.V. Bhawthana,2,9,15,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,1,8,2,8,1,3,2,2,1,2,2,2,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5,1
BDAMR10,S.G.V. Bhawthana,2,9,16,1,3,2,3,3,3,3,3,3,2,1,3,1,3,3,4,3,6,6,1,1,6,8,1,3,2,2,1,2,2,2,4,1,1,1,0,0,1,0,0,0,0,0,0,0,1,3,1
BDAMR11,S.G.V. Bhawthana,2,8,13,1,3,2,3,1,3,3,3,3,3,1,1,3,3,3,4,3,6,6,1,8,6,8,1,3,1,0,1,3,3,0,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
BDAMR12,S.G.V. Bhawthana,2,8,13,1,3,2,3,3,3,3,3,3,3,1,3,3,1,3,2,1,6,8,8,8,8,8,8,1,1,2,2,2,1,2,4,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,1
BDAMR13,S.G.V. Bhawthana,1,7,13,0,3,2,3,3,3,3,1,3,2,1,3,3,1,3,4,3,2,2,6,8,2,8,8,1,3,2,2,3,3,2,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,3,1
BDAMR14,S.G.V. Bhawthana,1,9,15,1,3,3,3,3,3,3,1,3,3,3,3,2,3,3,4,1,6,6,1,1,6,8,8,1,1,2,2,2,3,2,4,1,1,1,1,1,1,1,0,1,0,1,0,0,1,4,1
BDAMR15,S.G.V. Bhawthana,1,9,15,1,3,2,3,0,3,1,1,3,2,1,3,3,1,3,4,3,2,2,8,8,8,8,8,1,3,0,2,3,3,2,4,1,1,1,0,1,1,1,1,1,0,1,0,0,1,4,1
BDAMR16,S.G.V. Bhawthana,1,9,15,1,3,0,3,0,3,3,0,3,2,3,3,3,3,3,4,4,2,2,1,1,2,1,8,2,3,3,1,2,0,1,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,2,1
BDAMR17,"Shri Chhatrapati Shivaji Madhya Vidhyalaya, Mudegaon",1,9,14,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,8,8,8,8,8,8,0,1,2,2,2,3,2,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
BDAMR18,"Shri Chhatrapati Shivaji Madhya Vidhyalaya, Mudegaon",2,9,16,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,8,8,8,8,8,8,8,3,1,2,1,2,3,2,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
BDAMR19,"Shri Chhatrapati Shivaji Madhya Vidhyalaya, Mudegaon",2,9,13,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,8,8,8,8,8,3,1,2,2,2,3,2,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
BDAMR20,"Shri Chhatrapati Shivaji Madhya Vidhyalaya, Mudegaon",1,9,14,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,8,8,8,8,8,8,3,1,2,2,2,3,2,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
BDAMR21,"Shri Chhatrapati Shivaji Madhya Vidhyalaya, Mudegaon",1,8,14,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,8,8,8,8,8,8,1,1,2,2,2,3,3,4,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1
BDAMR22,"Shri Chhatrapati Shivaji Madhya Vidhyalaya, Mudegaon",2,8,14,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,8,8,8,8,8,8,3,1,2,2,2,3,2,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,2,1
