uid,school,gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations
BDAM186,"Someshwar High School, Ambajogai",2,7,12,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,6,7,8,6,1,4,3,3,0,3,3,3,3,4,1,0,1,0,1,1,0,1,0,0,0,1,1,2,7,1
BDAM187,"Someshwar High School, Ambajogai",2,8,13,1,3,0,0,0,3,3,0,3,2,3,0,1,3,3,1,0,8,8,8,8,2,0,0,1,1,3,0,0,3,2,4,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,1
BDAM16,Shri Chhatrapati Shivaji Madhyamik Vidyalay Chinchkhandi,2,7,12,1,0,0,3,0,0,0,0,0,3,0,0,0,0,0,2,1,2,2,1,1,2,1,1,0,1,0,0,2,0,0,4,1,1,0,0,1,0,0,1,0,0,0,0,0,2,1,1
BDAM17,Shri Chhatrapati Shivaji Madhyamik Vidyalay Chinchkhandi,1,7,12,1,3,3,3,3,3,3,0,3,2,3,3,3,3,3,4,3,2,2,5,8,2,8,1,2,1,2,1,2,1,2,4,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1
BDAM18,Shri Chhatrapati Shivaji Madhyamik Vidyalay Chinchkhandi,2,8,13,1,3,0,0,0,2,2,0,2,2,0,0,0,2,0,4,3,2,0,0,0,0,0,0,1,2,2,1,2,2,2,4,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1
BDAM19,Shri Chhatrapati Shivaji Madhyamik Vidyalay Chinchkhandi,2,7,12,1,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,1,2,2,1,1,2,1,1,0,1,0,0,2,0,0,4,1,1,1,0,0,0,0,1,0,0,0,1,1,2,1,1
BDAM20,Shri Chhatrapati Shivaji Madhyamik Vidyalay Chinchkhandi,2,8,13,1,3,3,3,3,3,2,1,3,2,1,1,3,3,3,4,3,6,6,1,1,6,8,8,0,1,2,1,3,1,2,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
BDAM21,Shri Chhatrapati Shivaji Madhyamik Vidyalay Chinchkhandi,1,8,13,1,3,3,3,3,3,3,3,3,2,3,3,1,3,1,4,1,2,2,5,4,7,8,8,1,1,2,2,1,1,2,4,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1
BDAM22,Shri Chhatrapati Shivaji Madhyamik Vidyalay Chinchkhandi,1,8,13,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,4,1,2,2,7,8,2,8,1,2,1,2,1,1,1,2,4,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
BDAM23,Shri Chhatrapati Shivaji Madhyamik Vidyalay Chinchkhandi,1,7,13,1,3,3,3,3,3,3,3,3,2,3,3,2,3,1,4,3,7,7,5,4,4,1,8,1,1,2,2,2,1,2,4,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1
BDAM149,Lakshmeshwar Vidyalay Hanumantwadi,1,8,14,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,0,3,2,8,8,8,8,8,8,3,3,2,1,1,2,2,4,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1
BDAM150,Lakshmeshwar Vidyalay Hanumantwadi,1,8,14,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,8,8,8,8,8,8,8,3,3,2,0,0,0,2,4,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1
BDAM151,Lakshmeshwar Vidyalay Hanumantwadi,2,8,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,8,8,8,3,2,2,2,0,0,0,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
BDAM152,Lakshmeshwar Vidyalay Hanumantwadi,2,8,14,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,2,7,6,6,2,3,2,3,3,3,2,2,4,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
BDAM09,Sane Guruji Highschool Bhavthana,2,8,14,1,3,0,0,0,0,0,0,2,0,0,0,0,0,0,4,3,3,2,0,1,2,1,1,1,0,0,0,0,0,0,4,0,0,1,0,0,0,1,1,0,0,0,0,0,1,4,1
BDAM10,Sane Guruji Highschool Bhavthana,2,8,14,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,6,6,1,8,7,8,8,1,3,2,3,3,3,0,4,1,1,0,0,1,0,1,0,1,1,1,0,0,1,4,1
BDAM11,Sane Guruji Highschool Bhavthana,2,8,14,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,6,6,1,8,7,8,8,1,2,2,3,3,3,2,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,4,1
BDAM12,Sane Guruji Highschool Bhavthana,2,7,13,1,3,1,3,3,3,3,3,3,2,3,3,3,3,3,2,3,2,2,1,1,2,1,1,1,3,2,3,3,3,0,4,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4,1
BDAM13,Sane Guruji Highschool Bhavthana,2,7,13,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,2,1,1,2,8,8,1,1,2,2,2,1,2,4,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1
