uid,school,gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations
DHBMR2,"AMBIKA VIDYALAYA,AMBI",1,8,14,1,3,2,1,3,3,3,0,3,1,1,1,3,3,0,4,3,2,2,4,8,2,1,1,3,1,0,3,0,3,0,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
DHBMR3,"AMBIKA VIDYALAYA,AMBI",2,9,15,2,3,3,1,3,1,2,3,3,3,3,2,2,3,3,4,3,2,0,8,8,0,0,1,3,1,2,2,1,1,2,4,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1
DHBMR4,"AMBIKA VIDYALAYA,AMBI",2,9,15,1,3,0,3,0,3,3,1,3,0,0,0,0,3,3,4,3,2,2,8,1,1,1,1,1,0,2,0,2,2,1,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
DHBMR5,"AMBIKA VIDYALAYA,AMBI",2,8,14,1,3,1,1,0,3,3,1,2,2,1,0,3,3,3,3,3,2,2,4,4,4,7,5,1,0,2,1,0,1,2,4,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1
DHBMR6,"AMBIKA VIDYALAYA,AMBI",2,9,15,1,1,1,1,3,3,3,1,3,2,1,1,1,3,3,7,3,2,6,4,7,0,8,8,3,2,1,3,1,1,2,4,1,1,1,1,0,1,1,1,1,1,0,0,0,2,1,2
DHBMR7,"AMBIKA VIDYALAYA,AMBI",2,8,15,1,3,1,2,3,1,1,1,3,1,1,1,3,3,3,4,3,2,2,4,7,2,8,8,3,3,2,2,0,2,1,4,1,1,1,1,0,1,1,1,1,1,0,0,0,1,1,1
DHBMR8,"AMBIKA VIDYALAYA,AMBI",1,9,15,1,3,3,3,3,3,3,3,3,2,1,1,1,3,3,7,3,4,6,4,8,4,8,8,3,3,3,3,3,3,3,4,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1
DHBMR9,"ANTARGAON HIGHSCHOOL,ANTARGAON",2,9,15,1,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,3,6,4,4,8,4,8,8,3,3,2,2,3,3,2,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
DHBMR10,"ANTARGAON HIGHSCHOOL,ANTARGAON",2,8,15,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,2,2,2,1,1,2,2,1,3,2,2,2,3,3,2,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1
DHBMR11,"ANTARGAON HIGHSCHOOL,ANTARGAON",1,9,14,1,3,1,1,3,3,3,3,3,1,1,1,1,3,3,7,3,2,2,4,8,2,5,7,0,0,0,0,0,0,0,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
DHBMR12,"ANTARGAON HIGHSCHOOL,ANTARGAON",2,9,15,1,3,0,1,0,3,3,3,3,0,0,0,0,3,3,4,3,2,2,4,4,2,0,1,1,2,2,1,0,0,2,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,2
DHBMR13,"ANTARGAON HIGHSCHOOL,ANTARGAON",2,9,14,1,3,2,3,3,3,3,2,3,2,3,3,3,3,3,2,1,6,6,4,1,4,1,8,0,1,2,2,3,3,2,4,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
DHBMR14,"ANTARGAON HIGHSCHOOL,ANTARGAON",1,8,15,1,3,3,3,3,3,3,3,3,2,3,3,2,3,3,2,1,2,2,1,8,4,8,8,3,1,0,1,3,3,2,4,1,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1
DHBMR15,"ANTARGAON HIGHSCHOOL,ANTARGAON",1,9,15,1,3,2,3,1,3,2,1,1,2,1,3,2,3,3,4,3,2,2,5,4,4,8,1,1,1,2,3,3,1,2,4,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1
DHBMR16,"ANTARGAON HIGHSCHOOL,ANTARGAON",2,8,15,1,3,0,3,3,3,3,3,3,3,3,3,3,3,3,2,1,6,6,1,8,6,1,1,3,3,3,3,3,3,0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1
DHBMR17,"BANGANGA HIGHSCHOOL,BHOOM",1,9,14,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,2,2,1,1,2,1,1,1,0,0,0,0,0,0,4,1,1,1,0,0,0,1,1,1,1,0,0,0,1,3,1
DHBMR18,"BANGANGA HIGHSCHOOL,BHOOM",1,8,14,1,3,0,3,0,3,0,0,3,3,3,3,3,3,3,4,3,2,2,1,8,2,0,4,3,0,0,0,0,3,0,4,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1
DHBMR19,"BANGANGA HIGHSCHOOL,BHOOM",1,8,14,1,3,0,3,0,0,0,0,3,2,3,3,3,3,3,4,3,2,2,1,1,2,1,1,3,1,0,0,0,3,0,4,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,1
DHBMR20,"BANGANGA HIGHSCHOOL,BHOOM",2,9,14,1,3,2,1,1,3,3,3,3,3,3,1,2,3,1,4,3,6,6,1,1,6,1,4,1,1,2,2,1,1,2,4,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1
DHBMR21,"BANGANGA HIGHSCHOOL,BHOOM",2,9,14,1,3,2,1,1,3,3,3,3,3,3,1,2,3,1,4,3,6,6,1,1,2,1,4,1,1,2,2,1,1,2,4,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1
DHBMR22,"BANGANGA HIGHSCHOOL,BHOOM",2,8,13,1,3,2,1,1,3,3,3,3,3,3,3,3,3,1,4,3,2,2,1,1,6,2,4,1,1,2,2,1,3,2,4,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1
DHBMR23,"BANGANGA HIGHSCHOOL,BHOOM",2,8,13,1,3,2,1,1,3,3,3,3,3,3,1,3,3,1,4,3,6,7,1,8,6,8,1,1,1,2,2,1,1,2,4,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1
DHBMR24,"BANGANGA HIGHSCHOOL,BHOOM",1,9,15,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,2,2,1,1,2,1,1,1,0,0,0,0,0,0,4,1,1,1,0,0,0,1,1,1,1,0,0,0,1,2,1
DHBMR25,"BHAURAO KATE HIGHSCHOOL,PATHRUD",2,9,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,2,1,1,2,8,8,2,1,2,3,3,3,2,4,1,1,1,0,1,1,1,0,1,1,1,0,0,1,3,1
DHBMR26,"BHAURAO KATE HIGHSCHOOL,PATHRUD",2,8,13,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,2,8,8,2,1,8,2,1,2,2,1,3,2,4,1,1,1,0,0,1,1,0,1,1,1,0,0,1,3,1
DHBMR27,"BHAURAO KATE HIGHSCHOOL,PATHRUD",1,8,13,1,3,2,3,3,3,3,0,3,2,3,3,3,3,3,4,3,2,2,1,8,2,8,1,0,1,2,0,3,3,0,4,1,1,1,0,0,1,1,0,1,1,1,0,1,1,3,1
DHBMR28,"BHAURAO KATE HIGHSCHOOL,PATHRUD",1,8,14,1,3,2,3,3,3,3,1,3,3,3,3,3,3,3,4,1,2,2,1,1,3,2,8,1,1,2,3,3,3,2,4,1,1,1,0,0,1,1,0,1,1,1,0,0,1,7,1
DHBMR29,"BHAURAO KATE HIGHSCHOOL,PATHRUD",1,9,15,1,3,2,1,3,1,3,3,3,2,1,1,1,3,3,4,3,4,8,4,8,4,8,8,3,3,3,3,3,3,3,4,1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0
DHBMR30,"BHAURAO KATE HIGHSCHOOL,PATHRUD",2,8,14,1,3,1,3,3,3,2,1,3,2,1,1,1,3,2,4,4,2,2,1,0,2,1,1,2,1,2,2,2,1,2,4,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1
DHBMR31,"BHAURAO KATE HIGHSCHOOL,PATHRUD",2,9,15,1,3,1,1,3,3,3,0,3,3,0,0,3,3,2,7,3,2,6,4,4,2,1,4,1,3,2,0,3,3,2,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
