uid,school,gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations
DHVS1,"GANESH VIDYALAYA, TERKHEDA",1,10,15,1,3,3,3,3,3,3,3,3,3,3,3,1,3,1,4,3,6,2,4,6,2,1,1,3,1,2,2,3,3,2,4,1,1,1,0,1,1,1,1,1,0,1,0,0,1,5,
DHVS2,,1,9,15,1,3,3,0,0,3,0,0,1,2,1,1,1,2,1,2,3,2,2,1,1,3,1,1,1,1,2,2,1,1,2,4,1,0,1,0,0,1,1,1,1,1,1,0,0,1,3,2
DHVS3,,1,9,14,1,3,2,1,1,1,2,1,3,3,3,3,3,3,3,4,1,2,2,5,2,2,1,5,2,1,0,2,1,1,2,4,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,1
DHVS4,,1,10,16,1,2,0,0,0,0,2,1,0,2,0,0,0,3,1,1,1,2,2,3,3,2,1,2,1,0,0,0,0,0,0,4,0,0,1,0,0,0,1,1,1,1,1,0,0,2,5,2
DHVS5,,2,10,16,1,3,2,1,3,1,2,3,3,2,1,3,2,3,1,7,3,6,6,5,7,6,8,5,2,1,2,2,1,2,2,4,0,1,1,0,0,1,1,0,1,1,1,0,0,1,1,1
DHVS6,,2,9,14,2,1,2,1,2,1,2,1,2,2,1,1,2,2,1,2,1,6,6,1,1,6,1,7,3,3,2,1,2,1,2,4,1,1,0,0,1,1,0,0,1,1,1,1,0,1,1,2
DHVS7,,2,9,14,1,3,2,1,3,1,2,3,2,2,1,2,1,2,1,4,3,7,6,1,7,6,8,5,3,1,2,2,1,1,2,4,0,1,1,0,1,1,1,0,1,0,1,0,1,2,1,1
DHVS8,,2,7,13,1,3,2,1,3,3,3,3,3,2,3,3,3,1,3,2,1,2,2,1,1,6,1,5,2,1,2,1,2,1,2,4,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1
DHVS9,"JANTA VIDYALAYA, MANDVA",2,9,15,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,6,2,1,1,6,1,1,3,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
DHVS10,,2,10,15,1,3,2,3,3,3,3,3,3,2,3,3,3,3,3,4,3,6,6,4,4,4,8,4,2,1,3,2,3,1,2,4,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
DHVS11,,1,10,16,1,3,2,3,3,1,3,2,3,3,3,3,3,3,3,2,1,2,2,1,5,2,1,5,3,3,0,2,3,3,2,4,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
DHVS12,,1,10,16,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,1,2,2,7,5,2,1,7,3,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DHVS13,,2,10,16,2,1,2,1,3,1,2,1,3,2,3,3,3,3,1,7,4,6,6,5,5,6,8,5,2,1,2,3,3,3,2,4,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1
