uid,school,gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations
DHDHR1,"P.P PANDURAN DADA MADHY.V UCHH.MA. VIDYALAY, SAYNE NANDANE DHULE",2,7,13,0,3,3,3,1,3,3,3,3,2,3,3,3,3,3,2,1,4,4,4,4,4,8,4,2,1,2,2,3,3,2,4,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1
DHDHR2,"P.P PANDURAN DADA MADHY.V UCHH.MA. VIDYALAY, SAYNE NANDANE DHULE",2,10,16,1,3,3,3,1,3,3,3,3,2,3,1,3,3,3,2,1,6,6,4,6,6,8,1,2,1,2,2,3,3,2,4,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1
DHDHR3,"P.P PANDURAN DADA MADHY.V UCHH.MA. VIDYALAY, SAYNE NANDANE DHULE",2,,13,1,2,2,2,0,2,2,2,3,2,3,3,3,3,3,2,3,4,4,4,4,4,8,4,3,3,0,3,3,3,3,4,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0
DHDHR4,"P.P PANDURAN DADA MADHY.V UCHH.MA. VIDYALAY, SAYNE NANDANE DHULE",1,8,14,1,3,3,3,3,1,3,3,3,3,3,1,1,3,1,4,3,4,4,4,4,4,8,4,1,1,3,2,1,3,2,4,1,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1
DHDHR5,"P.P PANDURAN DADA MADHY.V UCHH.MA. VIDYALAY, SAYNE NANDANE DHULE",2,7,14,1,3,3,3,0,2,2,0,3,2,3,3,3,3,3,2,3,4,4,4,4,2,8,1,3,3,0,3,3,3,0,4,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0
DHDHR6,"P.P PANDURAN DADA MADHY.V UCHH.MA. VIDYALAY, SAYNE NANDANE DHULE",1,8,14,1,3,2,3,3,3,3,3,3,2,3,3,3,3,1,1,3,4,4,4,4,4,8,4,2,3,3,2,3,3,2,4,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1
DHDHR7,"P.P PANDURAN DADA MADHY.V UCHH.MA. VIDYALAY, SAYNE NANDANE DHULE",2,9,14,0,3,3,3,3,3,3,3,3,2,1,3,3,3,1,4,3,6,6,1,8,7,1,1,3,1,0,3,0,1,0,4,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1
DHDHR8,"P.P PANDURAN DADA MADHY.V UCHH.MA. VIDYALAY, SAYNE NANDANE DHULE",2,9,14,0,3,3,3,3,3,3,3,3,2,1,3,3,3,3,2,1,6,6,1,7,7,1,1,2,1,0,2,3,1,2,4,1,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1
DHDHR9,"KAI. S.R. PATIL MADH.V.UCHH.MADH.VIDYALAY, VALWADI",2,10,17,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,2,1,8,4,8,4,3,3,3,3,3,3,3,4,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1
DHDHR10,"KAI. S.R. PATIL MADH.V.UCHH.MADH.VIDYALAY, VALWADI",2,10,17,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,2,1,8,4,8,4,3,3,3,3,3,3,3,,,,,,,,1,1,1,1,1,1,1,1,1,1
