uid,school,gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations
DHDH02,Primary Ashram school kundane ,2,6,13,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,5,5,6,1,1,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHDH03,primary Ashram school kundane ,2,6,13,1,3,0,3,0,3,3,3,3,3,1,3,3,3,1,2,3,2,2,1,2,6,1,1,3,1,2,0,3,3,3,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3,1
DHDH04,primary Ashram school kundane ,1,7,13,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,8,5,2,1,7,3,3,3,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1
DHDH05 ,primary Ashram school kundane ,2,8,14,0,3,0,2,2,2,2,2,2,2,2,2,2,2,2,7,3,7,6,7,7,6,8,7,2,2,0,2,2,2,0,4,1,1,1,0,1,1,0,1,0,1,0,1,1,1,7,1
DHDH06,jayhind high school,2,8,13,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,2,2,2,2,2,3,1,2,2,2,2,2,4,1,1,1,0,1,1,0,0,0,0,0,0,1,1,7,1
DHDH07,jayhind high school,2,8,13,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,4,,8,4,,8,3,3,3,2,3,3,3,4,1,0,1,0,1,1,1,1,0,0,1,0,0,1,2,1
DHDH08,jayhind high school,2,8,13,1,3,3,3,3,3,3,0,3,3,3,3,0,3,3,4,3,4,7,4,7,4,1,8,3,1,0,2,3,3,0,4,1,0,1,0,1,1,1,1,0,0,1,0,0,1,6,1
DHDH09,jayhind high school,2,8,13,1,3,3,3,0,3,3,0,3,2,1,1,3,3,1,4,3,7,7,1,8,7,8,8,3,1,0,0,3,3,2,4,1,1,1,0,0,1,1,1,0,0,1,0,0,1,6,1
DHDH10,jayhind high school,,8,12,1,2,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,2,2,4,2,2,1,4,3,1,2,2,2,1,2,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,6,1
DHDH11,jayhind high school,2,8,13,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,4,4,8,8,4,8,8,3,3,3,2,3,3,3,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,6,1
DHDH12,jayhind high school,2,8,13,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,4,3,4,4,8,8,4,8,8,3,3,3,2,3,3,3,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,6,1
