uid,school,gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations
JGENR01,MAHATAMA FULE HIGH SCH. ERANDOL,1,7,13,1,3,3,3,3,3,3,3,1,0,1,1,1,1,1,2,3,2,2,7,8,4,8,8,1,1,0,1,1,1,0,4,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,1
JGENR02,MAHATAMA FULE HIGH SCH. ERANDOL,2,6,12,0,3,3,3,0,0,0,0,2,2,0,2,0,2,0,2,1,6,6,0,1,0,1,1,2,1,2,0,3,3,2,,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1
JGENR03,MAHATAMA FULE HIGH SCH. ERANDOL,2,7,12,1,3,3,3,3,3,3,3,2,2,0,2,0,2,0,2,3,6,6,0,1,6,1,0,2,1,2,0,3,3,3,4,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1
JGENR04,MAHATAMA FULE HIGH SCH. ERANDOL,1,8,14,1,1,0,1,0,1,1,0,2,0,2,2,0,2,0,2,1,2,2,0,1,2,0,0,1,1,0,0,1,1,0,4,1,1,1,0,0,1,0,0,1,0,1,0,0,1,1,1
JGENR05,MAHATAMA FULE HIGH SCH. ERANDOL,2,8,14,1,3,0,1,2,3,3,0,3,2,1,3,2,3,3,4,4,6,6,1,8,4,8,1,3,3,0,0,0,3,0,4,1,1,1,0,1,0,1,0,1,1,1,0,0,1,5,1
JGENR06,MAHATAMA FULE HIGH SCH. ERANDOL,1,10,16,1,3,3,3,1,1,3,3,3,2,3,3,3,3,3,2,3,7,2,7,4,7,8,8,3,3,2,3,3,3,2,4,1,1,1,0,1,1,1,1,1,1,1,0,1,1,5,1
JGENR07,MAHATAMA FULE HIGH SCH. ERANDOL,1,10,16,1,3,3,3,3,3,3,3,3,2,3,3,3,3,1,2,1,2,2,1,3,2,1,1,1,1,2,2,1,1,2,4,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
JGENR08,MAHATAMA FULE HIGH SCH. ERANDOL,2,8,14,1,1,3,1,1,3,3,0,3,3,0,2,0,3,0,2,1,6,2,0,0,6,1,1,3,1,2,0,3,3,2,,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1
JGENR09,PRIYADHARSHNI SCH. JALU,1,10,16,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,3,6,2,1,1,2,8,1,3,3,2,2,3,3,2,4,1,1,1,1,1,1,1,0,1,0,1,1,0,1,,
JGENR10,PRIYADHARSHNI SCH. JALU,2,10,16,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,0,2,2,1,1,6,8,1,3,1,2,3,3,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
JGENR11,PRIYADHARSHNI SCH. JALU,1,9,14,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,1,1,6,8,1,3,3,0,0,0,0,0,4,1,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1
JGENR12,PRIYADHARSHNI SCH. JALU,2,9,14,1,3,3,3,3,3,3,0,3,3,3,3,3,3,3,7,3,6,6,1,1,6,8,1,3,3,2,3,3,3,3,4,1,1,1,1,0,0,1,1,1,0,1,0,0,1,3,1
JGENR13,PRIYADHARSHNI SCH. JALU,2,8,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,3,6,2,1,1,6,8,1,3,3,2,2,2,3,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
