uid,school,gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations
JLBAR01,Shivaji Vidyalay Dabhadi,2,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,2,1,8,8,8,8,3,1,2,3,3,1,2,4,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1
JLBAR02,Shivaji Vidyalay Dabhadi,1,7,12,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,2,4,2,2,1,1,2,1,1,1,1,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
JLBAR03,Shivaji Vidyalay Dabhadi,1,7,12,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,2,4,2,2,1,1,2,1,1,1,1,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
JLBAR04,Shivaji Vidyalay Dabhadi,1,6,11,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,2,4,2,2,1,1,2,1,1,1,1,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JLBAR05,Shivaji Vidyalay Dabhadi,1,7,12,1,1,2,1,3,1,1,1,1,2,1,1,2,1,1,2,4,2,2,5,4,2,8,1,1,1,2,2,1,1,2,4,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0
JLBAR07,Shivaji Vidyalay Dabhadi,2,6,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,2,1,8,7,1,5,3,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
JLBAR08,Shivaji Vidyalay Dabhadi,2,7,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,6,2,1,2,6,1,1,3,0,0,0,0,0,0,4,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1
JLBHR25,Sharda Vidya Mandir,1,8,14,1,3,3,3,1,3,3,1,2,2,1,1,2,2,1,4,3,2,2,5,8,7,8,7,2,1,2,1,2,2,2,4,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1
JLBHR26,Sharda Vidya Mandir,2,8,14,0,3,2,3,1,3,2,1,3,3,1,0,0,0,0,2,4,2,2,1,2,2,1,1,0,1,2,2,1,1,2,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1
JLBHR27,Sharda Vidya Mandir,2,8,14,1,3,2,3,3,3,2,1,3,2,1,1,0,3,3,2,1,6,6,5,1,6,1,1,0,0,0,0,0,0,0,4,1,0,0,0,1,0,1,0,1,1,1,0,0,1,1,1
JLBHR28,Sharda Vidya Mandir,2,8,14,1,3,2,3,3,3,3,1,3,2,3,3,3,3,3,2,3,2,2,5,8,2,8,1,3,1,3,3,3,3,1,4,1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,1
JLBHR29,Sharda Vidya Mandir,1,8,14,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,2,2,1,1,2,5,7,0,1,0,2,0,3,2,4,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1
JLBHR30,Sharda Vidya Mandir,2,8,14,1,3,2,1,1,3,2,3,3,2,1,3,2,3,1,4,2,2,6,1,8,2,1,1,3,1,0,2,3,3,2,4,1,1,1,0,0,1,1,1,1,0,1,1,0,1,0,1
JLBHR32,Sharda Vidya Mandir,2,8,14,1,2,0,0,0,0,0,0,2,2,3,2,2,3,3,1,4,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
JLJAR80,Kai Madhavrao Deshmukh Vidyalay Tembhurni,1,10,16,1,3,2,3,1,3,3,1,1,2,1,1,2,2,1,2,4,2,2,1,1,2,1,1,2,1,2,2,1,1,2,4,1,1,1,0,0,0,1,0,1,0,0,0,0,1,6,2
JLJAR81,Kai Madhavrao Deshmukh Vidyalay Tembhurni,1,6,12,1,3,2,3,3,3,3,1,1,2,1,3,1,3,3,2,3,2,2,1,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JLJAR82,Kai Madhavrao Deshmukh Vidyalay Tembhurni,2,7,13,0,3,2,1,3,3,3,3,3,2,3,3,1,3,3,2,4,8,2,0,1,2,2,1,1,1,2,2,0,2,3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
JLJAR83,Kai Madhavrao Deshmukh Vidyalay Tembhurni,2,10,15,1,3,3,3,3,3,3,3,1,2,1,1,2,3,1,2,3,2,2,1,5,6,1,1,3,1,0,0,0,3,0,4,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,1
JLJAR84,Kai Madhavrao Deshmukh Vidyalay Tembhurni,1,6,11,1,3,3,3,3,3,3,3,3,2,1,1,1,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
JLJAR85,Kai Madhavrao Deshmukh Vidyalay Tembhurni,1,7,13,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,1,5,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
JLJAR68,Nutan Vidyalay Dongaon,2,9,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,1,2,1,1,2,1,2,1,2,1,2,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1
JLJAR71,Nutan Vidyalay Dongaon,1,7,13,0,2,2,1,1,1,2,1,1,2,1,1,2,1,3,4,3,2,2,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JLJAR72,Nutan Vidyalay Dongaon,1,7,13,1,3,3,3,3,1,2,1,3,2,3,3,1,3,3,2,3,7,7,1,7,7,8,8,1,2,2,2,1,1,2,4,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0
JLBHR81,Vivekanand Vidyalay Shirajgaon Bk.,2,7,12,1,3,2,1,1,3,2,1,3,2,3,1,3,3,3,2,3,2,2,1,1,6,8,1,3,1,2,1,3,3,2,4,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1
JLBHR82,Vivekanand Vidyalay Shirajgaon Bk.,2,8,13,3,1,1,1,3,2,1,1,3,2,3,1,1,3,3,2,3,6,6,1,1,2,1,1,3,1,2,2,3,3,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
JLBHR83,Vivekanand Vidyalay Shirajgaon Bk.,1,8,13,1,3,2,1,1,3,2,1,3,2,1,1,3,3,3,2,3,6,2,1,1,2,1,4,3,3,3,3,3,3,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
JLBHR84,Vivekanand Vidyalay Shirajgaon Bk.,2,7,12,3,2,1,1,1,3,3,1,3,3,1,1,3,3,3,2,3,6,2,1,1,2,1,1,3,1,2,1,3,2,2,4,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1
JLBHR85,Vivekanand Vidyalay Shirajgaon Bk.,2,8,13,1,3,2,1,1,3,3,1,3,2,1,1,1,3,3,2,3,2,6,1,1,6,1,4,3,1,2,3,3,3,2,4,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1
JLBHR86,Vivekanand Vidyalay Shirajgaon Bk.,1,7,12,1,3,2,1,1,3,2,1,3,2,3,1,1,3,3,2,3,2,1,5,1,2,1,1,3,1,2,1,3,2,2,4,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1
JLBHR87,Vivekanand Vidyalay Shirajgaon Bk.,1,7,12,0,3,2,1,1,3,2,1,3,2,3,1,1,3,3,2,3,2,6,1,1,2,8,8,3,1,2,3,3,3,2,4,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1
JLBHR88,Vivekanand Vidyalay Shirajgaon Bk.,2,7,12,0,3,2,1,1,3,2,1,3,3,3,1,3,3,3,2,3,2,2,5,1,2,1,1,3,1,2,2,3,3,2,4,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1
JLJAR09,New Highschool Warud,1,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,1,3,1,1,2,1,2,1,1,2,1,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1
JLJAR10,New Highschool Warud,2,9,15,1,3,1,3,3,2,3,2,2,2,1,1,2,1,1,2,3,2,2,1,1,3,1,1,2,1,2,2,1,1,2,4,1,1,1,0,1,1,1,1,1,0,1,1,0,1,7,1
JLJAR11,New Highschool Warud,2,7,13,1,3,1,3,2,3,3,2,3,3,3,3,1,3,3,2,1,2,2,1,1,2,1,1,2,1,2,2,1,1,2,4,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1
JLJAR13,New Highschool Warud,2,10,16,1,3,2,1,1,3,3,1,2,2,1,1,1,2,1,2,3,6,8,1,1,2,8,1,1,3,1,2,1,1,2,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,1
JLJAR14,New Highschool Warud,1,7,14,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,2,2,1,1,2,1,1,2,1,2,2,1,1,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1
JLJAR15,New Highschool Warud,1,9,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,4,4,4,2,2,3,3,0,3,3,3,3,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
JLJAR16,New Highschool Warud,1,8,13,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,4,4,4,4,4,2,2,3,3,0,3,3,3,3,4,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1
JLJAR26,Z.P.C.P. School Janefal Pandit,1,7,12,1,3,3,3,3,3,0,0,3,3,3,3,0,0,0,2,3,6,3,2,0,0,0,0,3,0,3,0,3,0,0,4,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1
JLJAR28,Z.P.C.P. School Janefal Pandit,2,6,11,1,3,3,3,3,3,3,3,3,3,3,33,3,3,3,3,4,7,7,4,4,8,0,4,3,3,3,0,0,3,0,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1
JLJAR29,Z.P.C.P. School Janefal Pandit,1,6,11,1,3,3,3,3,3,3,0,3,3,3,3,3,0,0,3,4,7,7,1,1,7,1,7,3,3,3,0,3,3,3,4,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1
JLJAR30,Z.P.C.P. School Janefal Pandit,2,6,11,1,3,3,3,0,3,3,3,3,3,3,3,3,3,3,3,4,8,8,0,0,8,8,4,3,3,0,3,0,3,0,4,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
JLJAR31,Z.P.C.P. School Janefal Pandit,2,7,12,1,3,3,3,3,3,3,3,3,3,3,3,0,0,0,4,4,3,7,4,1,8,1,7,3,3,1,1,3,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
JLJAR32,Z.P.C.P. School Janefal Pandit,2,7,12,1,3,3,0,3,3,3,3,3,3,3,3,3,3,3,1,3,2,4,1,0,6,8,8,3,3,3,0,3,3,3,4,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1
JLJAR41,Jay Bhavani Vidya Mandir Devle Gavhan,2,9,15,0,3,3,3,0,3,3,0,3,2,3,1,3,3,3,4,3,6,6,1,1,6,1,1,1,1,2,2,3,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JLJAR42,Jay Bhavani Vidya Mandir Devle Gavhan,2,9,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,1,2,1,1,1,1,0,0,2,2,2,4,1,1,1,0,1,1,1,0,0,1,1,0,0,1,3,1
JLJAR43,Jay Bhavani Vidya Mandir Devle Gavhan,1,9,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,2,2,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JLJAR44,Jay Bhavani Vidya Mandir Devle Gavhan,2,9,15,1,3,0,3,0,3,3,0,3,2,3,3,3,3,3,4,3,6,6,1,8,6,8,1,0,1,2,0,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JLJAR46,Jay Bhavani Vidya Mandir Devle Gavhan,2,9,12,1,3,3,3,0,3,3,3,3,3,3,3,3,3,3,4,1,4,4,4,4,4,4,1,1,1,2,2,1,3,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
JLJAR47,Jay Bhavani Vidya Mandir Devle Gavhan,1,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,1,1,1,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1
JLJAR48,Jay Bhavani Vidya Mandir Devle Gavhan,1,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,2,1,1,2,0,1,0,3,0,0,0,1,2,4,1,0,1,0,0,0,1,0,0,0,0,0,1,1,5,1
JLBHR73,Shri Raosaheb Danve Patil Primary Aashram School,1,8,13,0,3,2,3,1,1,1,1,3,3,3,3,3,3,3,2,1,2,2,5,4,2,8,1,3,1,3,2,1,3,2,4,1,1,1,1,0,1,1,1,1,1,1,0,0,1,4,1
JLBHR74,Shri Raosaheb Danve Patil Primary Aashram School,2,8,14,2,3,3,1,1,3,3,1,1,2,1,3,1,3,3,4,3,5,4,1,8,7,1,1,3,1,2,2,1,1,2,4,1,1,0,0,0,1,1,0,1,1,1,1,0,1,4,1
JLBHR75,Shri Raosaheb Danve Patil Primary Aashram School,2,6,11,1,3,3,3,3,3,3,3,3,3,3,3,2,3,3,7,3,6,6,1,4,2,8,4,3,1,3,3,1,2,2,4,1,1,1,0,0,1,1,0,0,1,1,1,1,0,4,1
JLBHR76,Shri Raosaheb Danve Patil Primary Aashram School,2,6,12,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,3,6,6,1,4,2,1,4,3,1,3,3,3,3,2,4,1,1,1,0,0,1,1,0,0,1,1,1,1,1,4,1
JLBHR77,Shri Raosaheb Danve Patil Primary Aashram School,1,6,11,0,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,2,2,1,1,8,1,4,1,1,3,0,3,1,3,4,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0
JLBHR79,Shri Raosaheb Danve Patil Primary Aashram School,2,8,14,0,3,2,3,3,3,3,3,3,2,3,1,3,3,3,4,3,6,6,7,4,6,8,1,3,1,0,3,3,2,0,4,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1
JLBHR33,Shri Chhatrapati Sambhaji Vidyalay Tandulwadi,2,9,14,1,3,2,1,3,1,2,1,2,2,1,0,1,2,1,4,3,2,1,5,2,2,7,7,1,1,0,1,2,0,2,4,1,1,1,0,0,1,1,0,0,1,1,0,1,1,3,1
JLBHR34,Shri Chhatrapati Sambhaji Vidyalay Tandulwadi,2,9,14,1,2,2,1,3,3,3,3,3,2,1,1,1,3,1,4,3,6,6,1,1,6,1,1,1,1,0,1,1,3,2,4,1,1,1,0,1,1,1,0,0,0,0,1,1,1,3,1
JLBHR35,Shri Chhatrapati Sambhaji Vidyalay Tandulwadi,1,9,14,1,3,0,3,0,3,0,3,3,3,3,1,1,3,3,4,3,2,2,5,5,2,8,7,2,1,3,2,3,1,3,4,1,0,0,0,0,1,1,0,1,1,1,0,0,1,1,1
JLBHR36,Shri Chhatrapati Sambhaji Vidyalay Tandulwadi,1,9,14,1,3,3,3,0,3,3,3,3,3,0,3,0,3,3,6,3,2,2,5,7,2,8,1,0,1,0,2,0,0,2,4,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
JLBHR37,Shri Chhatrapati Sambhaji Vidyalay Tandulwadi,1,8,14,2,3,1,3,3,1,1,1,1,2,1,2,2,1,1,2,3,2,2,5,1,2,8,1,1,1,2,2,1,1,2,4,1,0,0,0,0,0,1,1,1,0,0,0,0,1,4,1
JLBHR38,Shri Chhatrapati Sambhaji Vidyalay Tandulwadi,1,8,14,2,2,2,1,1,1,2,1,1,2,1,2,2,1,1,3,3,2,2,5,1,2,8,8,1,1,2,2,1,1,2,4,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1
JLBHR39,Shri Chhatrapati Sambhaji Vidyalay Tandulwadi,2,8,13,1,2,2,3,2,3,1,1,3,2,1,3,1,3,1,4,3,6,6,1,8,7,8,1,3,1,1,2,1,2,2,4,1,1,1,0,1,0,1,1,1,1,1,0,0,1,2,1
JLBHR40,Shri Chhatrapati Sambhaji Vidyalay Tandulwadi,2,8,13,1,2,2,2,0,2,2,2,0,2,0,0,0,0,0,4,3,6,6,6,7,6,8,8,3,1,1,0,3,2,2,4,1,1,1,0,1,1,1,1,1,1,0,0,0,1,6,1
JLJAR73,Jijamata Vidyalay Nimkhed (Kh.),2,10,15,0,3,3,3,3,3,3,3,3,3,3,1,3,3,3,4,4,6,7,7,4,7,4,4,2,2,0,0,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1
JLJAR74,Jijamata Vidyalay Nimkhed (Kh.),2,10,16,0,3,2,1,3,3,3,1,3,2,1,1,3,3,3,2,1,6,6,1,1,6,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
JLJAR75,Jijamata Vidyalay Nimkhed (Kh.),2,10,16,1,0,2,0,0,0,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1
JLJAR76,Jijamata Vidyalay Nimkhed (Kh.),2,8,13,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,6,4,7,7,7,8,8,0,0,0,0,0,0,0,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,4,1
JLJAR77,Jijamata Vidyalay Nimkhed (Kh.),1,7,13,1,3,2,1,3,3,3,1,3,2,3,3,3,3,3,2,4,2,2,5,4,4,8,8,3,1,2,2,3,1,2,4,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1,1
JLJAR78,Jijamata Vidyalay Nimkhed (Kh.),1,7,13,2,3,2,1,3,3,3,3,3,2,3,2,3,3,3,2,3,2,2,4,4,2,8,1,3,3,0,0,3,0,0,4,1,1,1,1,1,1,0,0,0,0,0,0,1,1,7,1
JLJAR79,Jijamata Vidyalay Nimkhed (Kh.),1,9,15,1,3,2,3,1,1,2,3,2,1,3,2,0,1,3,2,3,2,2,5,4,4,8,4,3,3,0,0,3,3,0,4,1,1,1,1,1,1,0,0,0,0,0,0,0,0,7,1
