uid,school,gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations
JLBH01,Sarswati Vidyalay Talegaon,0,8,14,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,2,2,5,5,6,1,1,3,3,3,3,3,3,3,4,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,1
JLBH02,Sarswati Vidyalay Talegaon,0,8,0,1,3,0,3,1,3,3,1,3,2,1,3,3,3,3,4,1,2,2,1,4,6,1,8,3,1,2,2,3,3,2,4,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
JLBH03,Sarswati Vidyalay Talegaon,1,0,14,0,3,0,1,3,1,3,1,3,2,2,2,3,3,1,0,0,2,2,2,1,1,2,1,3,0,3,0,2,1,3,0,1,0,1,1,1,1,0,1,0,1,0,1,1,2,4,1
JLBH04,Sarswati Vidyalay Talegaon,0,8,0,1,3,0,3,1,3,3,1,3,2,1,3,3,3,3,4,1,2,2,1,4,7,1,8,3,1,2,2,3,1,2,4,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
JLBH05,Sarswati Vidyalay Talegaon,2,9,14,1,3,0,3,3,3,3,3,3,2,1,1,3,3,3,4,3,2,3,1,1,2,1,1,3,3,3,0,3,3,0,4,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1
JLBH06,Sarswati Vidyalay Talegaon,2,9,14,1,3,0,3,3,3,3,3,3,2,1,1,3,3,3,4,4,2,2,1,8,3,1,1,3,3,3,0,3,3,3,4,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1
JLBH07,Sarswati Vidyalay Talegaon,0,8,15,1,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,2,2,5,5,6,8,1,3,3,3,3,3,3,3,4,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1
JLBH08,Sarswati Vidyalay Talegaon,1,9,14,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,2,5,4,4,1,1,0,1,1,0,0,0,2,4,1,1,1,0,0,0,1,1,1,0,1,0,1,1,2,1
JLBH09,Gajanan Vidyalay Hasanabad,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JLBH10,Gajanan Vidyalay Hasanabad,1,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JLBH11,Gajanan Vidyalay Hasanabad,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JLBH12,Gajanan Vidyalay Hasanabad,2,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JLBH13,Gajanan Vidyalay Hasanabad,2,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JLBH14,Gajanan Vidyalay Hasanabad,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JLBH15,Gajanan Vidyalay Hasanabad,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JLBH16,Gajanan Vidyalay Hasanabad,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JLBH17,Shri Vivekanand Vidyalay Sirasgaon,2,8,14,1,3,1,3,3,3,3,2,3,2,1,3,3,3,3,2,1,2,2,1,1,2,1,1,1,1,2,1,2,2,2,4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
JLBH18,Shri Vivekanand Vidyalay Sirasgaon,1,8,13,1,3,3,3,1,1,3,1,3,3,3,1,1,3,3,4,1,2,2,1,1,2,1,1,2,1,2,1,1,1,2,4,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1
JLBH19,Shri Vivekanand Vidyalay Sirasgaon,1,8,13,1,3,3,3,1,1,3,1,3,3,3,1,1,3,3,4,1,2,2,1,1,2,1,1,2,1,2,1,1,2,1,4,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1
JLBH20,Shri Vivekanand Vidyalay Sirasgaon,1,7,12,1,3,3,3,1,1,3,3,3,3,3,1,1,3,3,0,4,2,2,1,1,2,1,1,2,1,2,1,1,2,1,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
JLBH21,Shri Vivekanand Vidyalay Sirasgaon,1,7,12,1,3,3,3,1,1,3,1,3,3,3,1,1,3,3,4,1,2,2,1,1,2,1,1,2,3,2,1,1,1,2,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,5,1
JLBH22,Shri Vivekanand Vidyalay Sirasgaon,2,8,14,0,3,1,3,3,3,3,2,3,2,1,3,3,3,3,2,1,2,2,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
JLBH23,Shri Vivekanand Vidyalay Sirasgaon,2,9,14,0,3,0,0,0,0,0,0,3,2,1,1,1,1,1,0,0,6,2,1,1,2,1,1,3,1,2,1,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
JLBH24,Shri Vivekanand Vidyalay Sirasgaon,2,9,15,1,3,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,2,2,1,1,2,1,1,1,1,2,1,2,1,2,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
JLBH25,Sant Dyaneshwar Vidyalay Hasanabad,2,10,16,1,3,0,3,3,3,3,3,3,3,1,3,3,3,3,4,2,2,2,1,4,2,4,4,1,3,1,1,1,3,3,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
JLBH26,Sant Dyaneshwar Vidyalay Hasanabad,1,10,16,1,3,3,3,3,1,3,3,3,2,3,3,3,3,3,2,3,4,4,8,4,4,8,1,3,1,0,3,3,3,0,4,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
JLBH27,Sant Dyaneshwar Vidyalay Hasanabad,2,10,17,1,3,0,3,3,3,3,3,3,3,3,3,3,3,3,2,4,2,2,3,1,2,1,1,1,1,2,2,2,1,2,4,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0
