uid,school,gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations
LTAH01,V.D Girl School,2,8,14,1,3,2,1,3,3,1,3,3,3,3,3,3,3,3,2,3,6,6,1,8,6,8,8,3,1,0,2,3,1,0,4,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1
LTAH02,V.D Girl School,2,9,14,0,3,0,1,3,3,2,3,3,2,3,3,3,3,1,2,3,2,2,5,1,7,8,7,2,1,2,2,3,3,2,4,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1
LTAH03,V.D Girl School,2,9,14,1,3,3,1,3,3,2,3,3,3,3,3,3,3,3,4,3,6,6,1,5,6,8,8,2,1,2,2,3,3,2,4,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1
LTAH04,V.D Girl School,2,8,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,1,4,4,6,7,7,7,7,8,7,3,1,0,3,3,3,0,4,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
LTAH05,V.D Girl School,2,8,14,2,3,3,1,3,3,2,3,3,3,3,3,3,3,3,4,3,7,2,5,8,8,8,8,2,1,2,2,3,3,2,4,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1
LTAH06,V.D Girl School,2,9,15,1,3,2,3,3,3,3,3,3,2,3,3,3,3,1,2,3,6,7,7,8,7,1,8,3,3,0,0,3,3,0,4,1,0,1,0,,1,1,1,1,0,1,0,0,1,1,1
LTAH07,V.D Girl School,2,8,14,0,3,3,3,3,3,1,1,3,3,3,3,3,3,3,2,4,6,7,7,6,7,7,8,2,2,2,1,1,3,3,4,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1
LTAH08,V.D Girl School,2,9,15,1,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,1,6,2,1,8,6,8,1,3,1,0,2,3,1,0,4,1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,1
LTAH09,swami vivekanand shikartajband,1,9,15,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,1,1,2,1,7,1,1,2,2,2,1,2,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
LTAH10,swami vivekanand shikartajband,2,8,14,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,2,2,1,1,2,1,8,1,1,2,2,2,2,3,4,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1
LTAH11,swami vivekanand shikartajband,2,9,9,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,1,2,2,1,1,2,1,7,1,1,2,2,2,1,2,4,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
LTAH12,swami vivekanand shikartajband,2,9,15,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,2,1,1,2,1,7,1,1,2,2,2,1,2,4,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
LTAH13,swami vivekanand shikartajband,1,8,14,1,3,3,3,0,3,3,1,3,3,3,3,3,3,3,4,2,2,2,5,1,2,1,1,1,1,2,1,1,1,2,4,1,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1
