uid,school,gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations
NDBKR1,"Zila Parishad high school, palaz",1,8,15,1,3,0,3,1,3,2,1,3,2,1,3,3,3,3,4,3,7,6,5,7,6,1,1,1,1,2,2,1,1,2,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1
NDBKR2,"Zila Parishad high school, palaz",1,8,15,0,1,0,1,0,1,0,0,2,0,2,0,0,0,2,4,3,2,2,0,5,2,0,5,0,1,0,1,0,1,0,4,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1
NDBKR3,"Zila Parishad high school, palaz",2,8,15,2,3,1,2,3,3,0,2,3,1,1,0,2,2,1,2,1,2,2,1,1,2,1,1,0,1,0,0,0,1,0,4,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1
NDBKR4,"Zila Parishad high school, palaz",1,9,14,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,4,3,2,2,5,7,6,1,8,1,1,2,2,1,2,2,4,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1
NDBKR5,"Zila Parishad high school, palaz",2,9,14,1,3,2,1,1,3,1,1,3,2,3,1,1,3,3,2,3,6,6,1,1,6,8,8,0,3,0,0,0,3,0,4,1,1,0,0,0,1,1,0,0,1,0,0,0,1,3,1
NDBKR6,"Zila Parishad high school, palaz",2,8,13,1,3,2,3,3,3,2,1,3,3,3,3,2,3,1,4,1,6,6,8,4,7,8,8,2,1,2,2,1,1,2,4,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1
NDBKR7,"Zila Parishad high school, palaz",2,8,13,1,3,2,3,3,3,2,1,3,2,1,3,2,3,2,4,1,6,6,1,4,7,8,8,2,1,2,2,1,1,2,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
NDBKR8,"Zila Parishad high school, palaz",1,8,14,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,4,3,2,2,5,5,4,8,7,1,1,2,2,1,1,2,4,1,1,1,0,0,0,1,0,0,0,1,1,0,1,1,1
NDBKR9,"Zila Parishad high school, Bhokar",2,8,14,1,3,2,3,3,3,3,3,3,2,3,3,3,3,3,4,1,7,6,4,4,4,4,4,3,0,3,3,0,3,2,4,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
NDBKR10,"Zila Parishad high school, Bhokar",1,8,13,1,3,2,3,3,3,3,3,3,2,3,3,3,3,3,6,1,2,7,5,4,2,1,4,1,1,1,1,1,1,1,4,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
NDBKR11,"Zila Parishad high school, Bhokar",2,9,14,1,3,0,3,0,3,1,3,3,2,3,3,3,3,3,4,3,6,6,7,4,2,1,1,3,1,2,2,3,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
NDBKR12,"Zila Parishad high school, Bhokar",1,8,13,1,3,2,3,3,3,3,3,3,2,3,3,3,3,3,6,1,2,6,5,4,6,1,4,1,1,1,1,1,1,0,4,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1
NDBKR13,"Zila Parishad high school, Bhokar",2,8,14,1,3,2,3,3,3,3,3,3,2,3,3,3,3,3,4,3,6,6,4,4,4,4,4,3,0,3,2,0,0,1,4,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1
NDBKR14,"Zila Parishad high school, Bhokar",2,9,14,1,3,2,3,0,3,1,3,3,3,3,3,3,3,3,4,3,6,6,4,4,2,1,1,3,1,2,2,3,3,2,4,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1
NDBKR15,"Zila Parishad high school, Bhokar",1,9,15,1,3,2,3,3,3,3,3,3,2,3,3,3,3,1,2,1,2,2,1,1,2,1,8,1,1,2,2,1,1,2,4,1,1,1,0,1,1,1,1,1,1,1,1,0,1,7,1
NDBKR16,"Zila Parishad high school, Bhokar",2,9,15,0,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,1,2,2,1,3,4,3,7,2,1,2,1,2,1,2,4,1,0,1,0,1,1,1,1,1,1,1,1,1,1,7,1
