uid,school,gender,grade,age,like_games,games_2a,games_2b,games_2c,games_2d,games_2e,games_2f,games_2g,prof_3a,prof_3b,prof_3c,prof_3d,prof_3e,prof_3f,prof_3g,serving_guests,financial_decisions,chores_6a,chores_6b,chores_6c,chores_6d,chores_6e,chores_6f,chores_6g,social_7a,social_7b,social_7c,social_7d,social_7e,social_7f,social_7g,legal_marriage_age,freedom_9a,freedom_9b,freedom_9c,freedom_9d,freedom_9e,freedom_9f,cons_10a,cons_10b,cons_10c,cons_10d,cons_10e,cons_10f,cons_10g,early_pregnancy,child_helpline,aspirations
PBPTR1,"ZILA PARISHAD PRASHALA, HADGAON",2,7,13,1,3,3,1,2,3,3,3,3,2,1,3,3,3,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PBPTR2,"ZILA PARISHAD PRASHALA, HADGAON",2,8,13,0,3,2,3,3,3,2,3,3,2,3,3,3,3,3,4,3,2,2,1,4,2,8,1,3,3,0,3,3,3,2,4,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1
PBPTR3,"ZILA PARISHAD PRASHALA, HADGAON",2,0,0,1,3,3,1,1,3,2,1,3,2,3,2,2,3,3,0,0,6,2,1,4,6,4,1,3,3,0,2,3,3,2,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1
PBPTR4,"ZILA PARISHAD PRASHALA, HADGAON",2,7,13,1,3,3,3,3,3,3,3,3,2,1,1,1,3,3,4,1,2,2,1,1,3,1,1,1,1,2,2,3,1,2,4,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1
PBPTR5,"ZILA PARISHAD PRASHALA, HADGAON",2,7,0,0,3,3,1,1,3,3,1,3,2,0,0,0,0,0,0,0,6,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBPTR6,"ZILA PARISHAD PRASHALA, HADGAON",2,6,12,1,3,3,1,1,3,3,1,3,2,1,3,3,3,3,4,4,6,6,1,8,6,4,8,3,3,3,1,3,3,3,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
PBPTR7,"ZILA PARISHAD PRASHALA, HADGAON",2,8,13,0,3,2,1,1,3,3,3,3,2,3,1,3,3,0,2,1,2,7,1,1,2,8,0,2,1,2,2,2,1,2,4,1,1,1,0,1,1,1,1,0,0,0,0,0,1,2,1
PBPTR8,"ZILA PARISHAD PRASHALA, HADGAON",2,8,13,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,2,2,1,1,2,1,1,3,3,2,1,3,3,2,4,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
PBPTR9,P.P.C.M.M.V. GUNJ (KH),2,7,13,2,3,1,3,3,3,3,3,3,3,3,3,3,3,3,4,1,2,2,1,1,2,1,1,1,1,1,2,1,1,2,0,1,0,1,0,1,1,1,0,0,0,0,0,0,2,4,1
PBPTR10,P.P.C.M.M.V. GUNJ (KH),2,7,13,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,0,2,4,1
PBPTR11,P.P.C.M.M.V. GUNJ (KH),2,8,13,0,3,3,3,2,0,0,0,3,3,3,3,3,3,3,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,4,1,0,1,0,1,1,1,0,0,0,0,0,0,2,4,1
PBPTR12,P.P.C.M.M.V. GUNJ (KH),2,8,13,0,2,2,2,2,0,0,0,3,3,3,3,3,3,3,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBPTR14,P.P.C.M.M.V. GUNJ (KH),1,8,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,2,3,2,2,1,8,7,8,8,1,1,0,0,1,1,0,4,1,0,1,0,0,1,1,0,1,1,1,0,0,1,7,1
PBPTR15,P.P.C.M.M.V. GUNJ (KH),1,7,12,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,6,1,2,2,5,1,2,1,0,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PBPTR16,P.P.C.M.M.V. GUNJ (KH),1,7,12,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,2,2,1,1,2,1,0,1,1,2,2,3,1,2,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1
PBPTR17,"ZILA PARISHAD HIGH SCHOOL(URDU), PATHARI",2,7,12,1,3,1,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,2,1,1,2,1,0,1,1,1,2,1,1,1,4,1,0,0,1,1,1,1,0,0,0,0,0,0,1,2,1
